,Date,Home Team,Score,Away Team
315,2023-09-19,Sampaio Corrêa,2–1,Vila Nova
316,2023-09-22,Ponte Preta,0–3,Mirassol Futebol Clube
317,2023-09-23,Chapecoense,1–1,Ceará
318,2023-09-23,CRB,1–0,Guarani
319,2023-09-23,Tombense Futebol Clube,0–0,Botafogo (SP)
320,2023-09-23,Sport Recife,4–0,Londrina
321,2023-09-22,Atl Goianiense,3–1,Criciúma
322,2023-09-22,Ituano,0–2,Vitória
323,2023-09-25,Avaí,0–2,Juventude
324,2023-09-25,Grêmio Novorizontino,2–1,ABC
326,2023-09-28,Mirassol Futebol Clube,1–0,CRB
327,2023-09-29,Avaí,2–2,Sport Recife
328,2023-09-28,Londrina,1–0,Sampaio Corrêa
329,2023-09-30,Juventude,1–0,Criciúma
330,2023-09-30,Guarani,2–1,Grêmio Novorizontino
331,2023-09-30,Ituano,1–1,Botafogo (SP)
332,2023-09-30,ABC,2–0,Ponte Preta
333,2023-09-29,Vitória,1–0,Tombense Futebol Clube
334,2023-10-01,Vila Nova,0–0,Chapecoense
335,2023-10-01,Ceará,0–1,Atl Goianiense
337,2023-10-03,Mirassol Futebol Clube,2–0,Londrina
338,2023-10-05,Chapecoense,0–0,ABC
339,2023-10-07,Tombense Futebol Clube,1–1,Juventude
340,2023-10-07,Botafogo (SP),0–1,Avaí
341,2023-10-07,Sampaio Corrêa,1–1,Grêmio Novorizontino
342,2023-10-07,Guarani,1–1,Vila Nova
343,2023-10-06,CRB,2–0,Ceará
344,2023-10-06,Atl Goianiense,1–0,Ituano
345,2023-10-08,Criciúma,1–0,Vitória
346,2023-10-09,Sport Recife,3–3,Ponte Preta
348,2023-10-10,ABC,1–2,Mirassol Futebol Clube
349,2023-10-11,Vila Nova,3–1,Botafogo (SP)
350,2023-10-14,Grêmio Novorizontino,0–0,Tombense Futebol Clube
351,2023-10-14,Ituano,0–0,CRB
352,2023-10-14,Ceará,0–0,Sampaio Corrêa
353,2023-10-13,Criciúma,1–2,Chapecoense
354,2023-10-15,Ponte Preta,0–2,Atl Goianiense
355,2023-10-15,Vitória,2–0,Guarani
356,2023-10-15,Londrina,1–1,Avaí
357,2023-10-16,Juventude,2–2,Sport Recife
359,2023-10-19,Atl Goianiense,3–1,ABC
360,2023-10-19,Tombense Futebol Clube,2–1,Vila Nova
361,2023-10-20,Sampaio Corrêa,0–1,Vitória
362,2023-10-21,Botafogo (SP),2–0,Grêmio Novorizontino
363,2023-10-21,CRB,0–1,Criciúma
364,2023-10-21,Juventude,2–2,Londrina
365,2023-10-20,Mirassol Futebol Clube,0–0,Guarani
366,2023-10-22,Sport Recife,2–1,Chapecoense
367,2023-10-22,Avaí,1–0,Ceará
368,2023-10-23,Ponte Preta,0–0,Ituano
370,2023-10-26,ABC,1–1,Avaí
371,2023-10-27,Ceará,2–1,Sport Recife
372,2023-10-28,Criciúma,3–0,Sampaio Corrêa
373,2023-10-28,Ituano,0–0,Mirassol Futebol Clube
374,2023-10-28,Vila Nova,2–1,Atl Goianiense
375,2023-10-27,Grêmio Novorizontino,2–0,Ponte Preta
376,2023-10-27,Guarani,0–1,Botafogo (SP)
377,2023-10-29,Londrina,1–1,CRB
378,2023-10-29,Vitória,0–0,Juventude
379,2023-10-30,Chapecoense,1–2,Tombense Futebol Clube
381,2023-11-01,Atl Goianiense,2–2,Grêmio Novorizontino
382,2023-11-03,Mirassol Futebol Clube,2–1,Sport Recife
383,2023-11-04,Botafogo (SP),2–2,Ceará
384,2023-11-04,Ponte Preta,0–1,Avaí
385,2023-11-04,Sampaio Corrêa,1–2,Tombense Futebol Clube
